"ageGroup","genGroup","PersonCountAtRisk","PersonCountWithOutcome","averagePredictedProbability","StDevPredictedProbability","MinPredictedProbability","P25PredictedProbability","P50PredictedProbability","P75PredictedProbability","MaxPredictedProbability","evaluation"
"Age group: 0-4","Female",NA,NA,0.0986500630736254,0.230804918024106,0.00152948913453441,0.0183315891891561,0.0232618643870762,0.0272971068468211,0.862751206619283,"Test"
"Age group: 0-4","Male",NA,NA,0.0680325390966303,0.197935885005693,0.00242708964752576,0.0180158301655096,0.0211968585357992,0.0239824020609425,0.860560456323319,"Test"
"Age group: 10-14","Female",NA,NA,0.0203251773303817,0.0106127206348662,0.00138521183609435,0.0179993358128438,0.0196904309669335,0.0289390794561862,0.0352402747733579,"Test"
"Age group: 10-14","Male",NA,NA,0.0213829757245679,0.0134045710656211,0.00151990712667957,0.0147370609055667,0.0214408591879394,0.0277752773656102,0.0487901350239047,"Test"
"Age group: 15-19","Female",NA,NA,0.122576932712175,0.270143269558244,0.00227942224660244,0.017654102036308,0.0222107407417068,0.0267193801406753,0.907117915843615,"Test"
"Age group: 15-19","Male",NA,NA,0.0871553091494286,0.23943593886045,0.0029889322426653,0.0185178772348604,0.0230582511259788,0.0235750756715634,0.883730628612639,"Test"
"Age group: 20-24","Female",NA,NA,0.142619016633357,0.313272342820767,0.0013062722295936,0.0161832509893278,0.0228192489379731,0.0255262526731368,0.910600129653955,"Test"
"Age group: 20-24","Male",NA,NA,0.0237047796632106,0.0095145044632191,0.0136024127772168,0.0159988942259966,0.0221969092467824,0.0269942658684444,0.046812535124298,"Test"
"Age group: 25-29","Female",NA,NA,0.0441295113199886,0.0841540363346009,0.00148951029148666,0.0195468422713215,0.0211828128205339,0.0292228350375381,0.345924190353702,"Test"
"Age group: 25-29","Male",NA,NA,0.0717472575320642,0.208474647874252,0.00131416584900465,0.0165446906022129,0.0224011243873133,0.0291611792385494,0.905722981004761,"Test"
"Age group: 30-34","Female",NA,NA,0.145291407818516,0.307009897891246,0.00128714170198523,0.0199753262047581,0.0274919044763082,0.0324483473526368,0.913454121842063,"Test"
"Age group: 30-34","Male",NA,NA,0.148416457370053,0.301945549416492,0.00142956637698331,0.0182273772916764,0.0249549579378737,0.0385780354775646,0.912362162677605,"Test"
"Age group: 35-39","Female",NA,NA,0.0638072802830608,0.192842275592521,0.00391840049334059,0.0175836439623383,0.019706675775993,0.0257093378429182,0.882462750314415,"Test"
"Age group: 35-39","Male",NA,NA,0.0995920424827682,0.251261171894341,0.0021941216065754,0.018147065757518,0.022859663608172,0.0271522395405009,0.878839392263842,"Test"
