"ageGroup","genGroup","PersonCountAtRisk","PersonCountWithOutcome","averagePredictedProbability","StDevPredictedProbability","MinPredictedProbability","P25PredictedProbability","P50PredictedProbability","P75PredictedProbability","MaxPredictedProbability","evaluation"
"Age group: 40-44","Female",NA,NA,0.104178767534749,0.256275867741203,0.0016136293097796,0.0170528915002046,0.021137590630859,0.0266313401045482,0.859304568884599,"Test"
"Age group: 40-44","Male",NA,NA,0.099840721751269,0.231021368830566,0.00211192583292473,0.0156723019898806,0.0205932676304975,0.0290314849404478,0.867640422213702,"Test"
"Age group: 45-49","Female",NA,NA,0.143079229733629,0.298523362918672,0.00138984380564475,0.018395464149212,0.0212502179259904,0.0305402851830982,0.869660353809146,"Test"
"Age group: 45-49","Male",NA,NA,0.0216689586004489,0.00942758602326013,0.002356691114644,0.0176947081815883,0.0222803127800411,0.0287614229323776,0.0367846970534706,"Test"
"Age group: 5-9","Female",NA,NA,0.112938080865073,0.284160475726451,0.00106714148652054,0.00485935131104221,0.0193870595125993,0.0276061039863271,0.894089428428311,"Test"
"Age group: 5-9","Male",NA,NA,0.0598875422591103,0.183153527707438,0.00173110401325398,0.0148733946254334,0.0179490714293072,0.0256143017372764,0.857040239222987,"Test"
"Age group: 50-54","Female",NA,NA,0.0952080002383427,0.244630901601523,0.017581950259461,0.0187505140460163,0.0215010233900366,0.0253253514322054,0.832731347982433,"Test"
"Age group: 50-54","Male",NA,NA,0.0571110343923973,0.178738043683712,0.00177937335100251,0.0170555095176836,0.0196678335306283,0.0249168696931696,0.876120737040151,"Test"
"Age group: 55-59","Female",NA,NA,0.0688733853286624,0.20176515393845,0.00122585354101422,0.0127483031545647,0.0192360640634723,0.0329261884561389,0.850485067042251,"Test"
"Age group: 55-59","Male",NA,NA,0.0479653760691105,0.15847547300629,0.00148990172748239,0.0151560539161231,0.0187067157137322,0.0260431005539164,0.88612630177729,"Test"
"Age group: 60-64","Female",NA,NA,0.0570650532065334,0.17052804261124,0.00224349133785609,0.0159592994154467,0.0175523899818117,0.0260580813500786,0.800228277750355,"Test"
"Age group: 60-64","Male",NA,NA,0.0976252120185531,0.250061157135323,0.01494631804256,0.0190177950465103,0.0240431767081194,0.0306249680192189,0.922054872753118,"Test"
"Age group: 65-69","Female",NA,NA,0.0995122599364135,0.250918726722397,0.0124479770943548,0.0172951747155324,0.0221344472601694,0.0331156077477912,0.895401456872525,"Test"
"Age group: 65-69","Male",NA,NA,0.0536034860883039,0.172876982403109,0.00129811884924711,0.0122272149062819,0.0213821282142509,0.0260667907088336,0.863866619001709,"Test"
"Age group: 70-74","Female",NA,NA,0.0899396002015099,0.228398208877822,0.00109296180392549,0.0203560320484392,0.022850309153523,0.0298745254056427,0.853667947409169,"Test"
"Age group: 70-74","Male",NA,NA,0.145072479486946,0.310653819448125,0.0139144788242833,0.0186893672385157,0.0229122481044897,0.0287598055127488,0.952812671425386,"Test"
"Age group: 75-79","Female",NA,NA,0.146607974711359,0.307827609163596,0.012435859342938,0.0194009868250984,0.0274272293725184,0.0364989291203554,0.874981626147282,"Test"
"Age group: 75-79","Male",NA,NA,0.184287434646768,0.335140694219948,0.00219660411098112,0.0180748353932732,0.0242572398313349,0.03414957192095,0.923852643462643,"Test"
"Age group: 80-84","Female",NA,NA,0.0602950068156445,0.175917824118118,0.00137401084029871,0.0185579524592319,0.0224458565151003,0.0317349442426575,0.827070861476503,"Test"
"Age group: 80-84","Male",NA,NA,0.0904284950105999,0.249684818148981,0.00191614030281096,0.0136042475210947,0.0190295650029682,0.0268579807577474,0.935250747288456,"Test"
"Age group: 85-89","Female",NA,NA,0.195152807177053,0.33817805578564,0.0106549408712904,0.0160296705076374,0.0225474548609461,0.0383586999852419,0.888411218356154,"Test"
"Age group: 85-89","Male",NA,NA,0.123808562147433,0.256344713485145,0.00182028383438599,0.015173237179741,0.021057864693754,0.0359588403513659,0.883192388160134,"Test"
"Age group: 90-94","Female",NA,NA,0.0512697690985095,0.165080853977411,0.00146733313384841,0.0128336640888927,0.0190373476990033,0.028213315099837,0.858961759757282,"Test"
"Age group: 90-94","Male",NA,NA,0.068135877239599,0.205782463568755,0.00167191871022525,0.0177409915020231,0.021635073023838,0.0263122167681259,0.917082273066966,"Test"
"Age group: 95-99","Female",NA,NA,0.292087921343713,0.464617156905674,0.0176344647000266,0.023865202696735,0.0300959406934434,0.429314649665557,0.82853335863767,"Test"
"Age group: 95-99","Male",NA,NA,0.0265757042355644,0.00505565119585328,0.0145529684896812,0.0267115090577635,0.0278241285188931,0.0290270261132974,0.0302963508832609,"Test"
"Age group: 0-4","Female",NA,NA,0.095138127702283,0.23506808788423,0.00145664634790935,0.018208667304045,0.0218496024880862,0.0285885670100905,0.916414002183499,"Train"
"Age group: 0-4","Male",NA,NA,0.0956978112335869,0.243630705591526,0.00125628903548253,0.0174921630516441,0.0214163371420116,0.0258811059765774,0.93919197350753,"Train"
"Age group: 10-14","Female",NA,NA,0.0971350276097153,0.251795367731239,0.00159739478693928,0.0143351598078034,0.0228132437151774,0.0285656220827231,0.934432611809714,"Train"
"Age group: 10-14","Male",NA,NA,0.112192990964684,0.269058374656839,0.00171267212374858,0.0169982135756177,0.021678980209806,0.0295424955532103,0.933128819859343,"Train"
"Age group: 15-19","Female",NA,NA,0.123277539678675,0.278623297103868,0.00117001192825087,0.0167204640052318,0.0217254205541106,0.0330965422658161,0.918767713647143,"Train"
"Age group: 15-19","Male",NA,NA,0.117240617264483,0.272762255692739,0.00111738867869349,0.0156224238216199,0.020284935494387,0.0297050230611966,0.924696983700465,"Train"
"Age group: 20-24","Female",NA,NA,0.0753966169746428,0.216437879509593,0.0014334138790306,0.0142067353539643,0.0199572209131115,0.0266560093958431,0.910905288659163,"Train"
"Age group: 20-24","Male",NA,NA,0.0692259687037043,0.188595460259128,0.00113344310887363,0.017911107815809,0.0217604439936539,0.0278871604889922,0.901881526414052,"Train"
"Age group: 25-29","Female",NA,NA,0.10796804284511,0.253535244031754,0.0012862441494226,0.0177101482728407,0.0233320542930571,0.0310800341336937,0.907708114099406,"Train"
"Age group: 25-29","Male",NA,NA,0.105637861879199,0.258934312739391,0.00122014056707452,0.0164607844624708,0.0236795752096621,0.0287374697942464,0.932495296213898,"Train"
"Age group: 30-34","Female",NA,NA,0.115545581661916,0.269739111507714,0.0013358492884457,0.0157706070624625,0.0195369439764016,0.0241230508821142,0.917315565011478,"Train"
"Age group: 30-34","Male",NA,NA,0.065232272292247,0.176740289322703,0.00100956573591778,0.0165776548713209,0.0208152918865105,0.0271258861683305,0.900607951929765,"Train"
"Age group: 35-39","Female",NA,NA,0.0961383358835534,0.243116587395812,0.00153715738162039,0.0172292440582064,0.0218270958086688,0.0262581964301684,0.936680869806903,"Train"
"Age group: 35-39","Male",NA,NA,0.0912759431131791,0.231374866098233,0.0012065158629197,0.0165996988881025,0.0232558786361088,0.029700397868765,0.906297723449904,"Train"
"Age group: 40-44","Female",NA,NA,0.0804661473528701,0.210693124420105,0.00160547983982932,0.016732969642831,0.0225485757211176,0.0276071320282649,0.882352765896024,"Train"
"Age group: 40-44","Male",NA,NA,0.12371697920784,0.282024832009467,0.00116486825599674,0.0161830407818266,0.0197867603868172,0.0271662387233067,0.931610775961577,"Train"
"Age group: 45-49","Female",NA,NA,0.0442521813512321,0.135228944612365,0.000896010758811944,0.0161452280669161,0.0213031761171567,0.0270577347164596,0.818822494170557,"Train"
"Age group: 45-49","Male",NA,NA,0.0708470800258803,0.205660291873411,0.000870240806380736,0.0159997062373555,0.0217441977285849,0.0265480327431791,0.932757965346978,"Train"
"Age group: 5-9","Female",NA,NA,0.0679248684040721,0.195786040829887,0.00137438041625238,0.0186958413818903,0.0236398675024985,0.0279251100984635,0.924248568257706,"Train"
"Age group: 5-9","Male",NA,NA,0.103585972100783,0.244621621653044,0.00157389402759134,0.0178232636640001,0.0230124792798251,0.0318742399085668,0.923695377969857,"Train"
"Age group: 50-54","Female",NA,NA,0.102397747817809,0.251837821031049,0.000982892080526379,0.0181168356017136,0.0243959130269658,0.0324263425181581,0.91002004515919,"Train"
"Age group: 50-54","Male",NA,NA,0.0978707903897364,0.250588317432655,0.0010639630817021,0.0148011209580157,0.0187264743430603,0.024321020102785,0.910801612527291,"Train"
"Age group: 55-59","Female",NA,NA,0.0856692474999437,0.23033435726559,0.00143462074191998,0.0165497511169085,0.0210847712740755,0.0264811216947464,0.911054989661928,"Train"
"Age group: 55-59","Male",NA,NA,0.0933751184262476,0.245252766840442,0.00139646138285118,0.0157072879677797,0.0207160753784024,0.0262436825978526,0.9371708065563,"Train"
"Age group: 60-64","Female",NA,NA,0.0755856963315835,0.20810288845941,0.00121822588321359,0.0166325206512917,0.0222197232565517,0.0286195568270877,0.909593359466887,"Train"
"Age group: 60-64","Male",NA,NA,0.0834220610012243,0.226201297307462,0.000785082531114694,0.0154789999746504,0.0206911254339899,0.0249252095696572,0.907136950340184,"Train"
"Age group: 65-69","Female",NA,NA,0.0900737032856192,0.24151265041339,0.00122165842263599,0.0154947018318673,0.0203631648598496,0.0269672024594849,0.925813994036497,"Train"
"Age group: 65-69","Male",NA,NA,0.0541479943360203,0.153999831431626,0.001533288230223,0.0172116397239398,0.0215365857138934,0.0253888717974884,0.857952415591856,"Train"
"Age group: 70-74","Female",NA,NA,0.0979079511539077,0.246737284323865,0.00111995532411602,0.016058292338158,0.0225640476495178,0.0305208461532652,0.923274827760222,"Train"
"Age group: 70-74","Male",NA,NA,0.116129706399635,0.27234901686342,0.00135119614286102,0.016667613418659,0.0220820529947775,0.0290933928297259,0.920571969057543,"Train"
"Age group: 75-79","Female",NA,NA,0.0903496565492181,0.236185779805021,0.00115285262425646,0.0175403841435074,0.0225960026142333,0.0324708628241196,0.925368072013863,"Train"
"Age group: 75-79","Male",NA,NA,0.0722583463881303,0.196461468850114,0.00113848525386123,0.0158680778342484,0.0192346376649585,0.027634378710615,0.882846211346113,"Train"
"Age group: 80-84","Female",NA,NA,0.071813629092176,0.187693359152156,0.00152879449785378,0.0164521668031336,0.0211136759282274,0.0267398416126987,0.93232540358123,"Train"
"Age group: 80-84","Male",NA,NA,0.0799388275507207,0.211571943049806,0.00112654237733226,0.0178429283824122,0.021471655918947,0.0287756659213501,0.899277861242155,"Train"
"Age group: 85-89","Female",NA,NA,0.0792699092491743,0.217551848089413,0.00101672322975527,0.0170554731961297,0.0217283791447061,0.0308039934322277,0.939052870382985,"Train"
"Age group: 85-89","Male",NA,NA,0.147688757075026,0.30678218524186,0.00119562861656014,0.0142403894313147,0.0194611494134986,0.0269897522024691,0.914908956046124,"Train"
"Age group: 90-94","Female",NA,NA,0.078030163535626,0.213015993561538,0.00109355708260358,0.0142516423954827,0.0207136241606412,0.0295706946160423,0.930964279770265,"Train"
"Age group: 90-94","Male",NA,NA,0.121648223924794,0.274812172942495,0.00135643515730193,0.0165121863324526,0.0214786232120051,0.0297081268431965,0.894091741423455,"Train"
"Age group: 95-99","Female",NA,NA,0.0877999621773628,0.238372709888312,0.0106771059616921,0.0158985377669467,0.0229837919662201,0.0282689579579295,0.9150048284295,"Train"
"Age group: 95-99","Male",NA,NA,0.0929469129554612,0.247312770373108,0.0114174581436285,0.0179745069944518,0.0255438097193937,0.0302907650740152,0.915581114950636,"Train"
"Age group: 0-4","Female",NA,NA,0.0977051576086193,0.231030119588829,0.00330489585943282,0.0204050642293488,0.0241459307080023,0.0292464120858711,0.89021836928813,"CV"
"Age group: 0-4","Male",NA,NA,0.0960897235543932,0.231111118370208,0.00315176488572111,0.0207608183807327,0.0223030936736357,0.0258510438718107,0.862871298906164,"CV"
"Age group: 10-14","Female",NA,NA,0.0906358863714192,0.228246633130633,0.00385788870141439,0.0184607398507781,0.0246592344692599,0.0275211704466155,0.853097607134898,"CV"
"Age group: 10-14","Male",NA,NA,0.109666866750241,0.255568054842438,0.0030737873757201,0.0206620965198508,0.0239781823947005,0.0296400348484732,0.879232288688732,"CV"
"Age group: 15-19","Female",NA,NA,0.119599909961844,0.266671169246313,0.00368948080939519,0.019388710789155,0.0227504272170553,0.0270829457776117,0.853973731555685,"CV"
"Age group: 15-19","Male",NA,NA,0.116382550746086,0.262181205093271,0.00358152588648281,0.0206189688468969,0.0238828079202371,0.0283826212017405,0.877201733007319,"CV"
"Age group: 20-24","Female",NA,NA,0.0769958574778253,0.214420658938294,0.00315299362137467,0.0189667321279341,0.0227937557915594,0.0271504714240694,0.913040690433254,"CV"
"Age group: 20-24","Male",NA,NA,0.0731302797342694,0.192352897493649,0.00317377825340208,0.0199453722725162,0.0236224646573132,0.0270013891042458,0.841554588197891,"CV"
"Age group: 25-29","Female",NA,NA,0.107691194454999,0.247093386690015,0.0045046129557399,0.0206824330919985,0.0244635338996729,0.0277847014692921,0.864953808528968,"CV"
"Age group: 25-29","Male",NA,NA,0.100823758835155,0.24105077546497,0.00253930020810737,0.0204847810857946,0.023994134647451,0.0284764096433846,0.867263877989318,"CV"
"Age group: 30-34","Female",NA,NA,0.116225737246757,0.260621262245771,0.00421974446264767,0.0184084348849254,0.0222627457078554,0.0269360213030533,0.875341045249376,"CV"
"Age group: 30-34","Male",NA,NA,0.0707668376147337,0.180339584150619,0.00336390649135222,0.0207093126085321,0.0244108045885893,0.0282732906529396,0.865849054198374,"CV"
"Age group: 35-39","Female",NA,NA,0.0979130499618014,0.234008036547119,0.00400980200379582,0.0201196868591329,0.0231423394788859,0.0282459616301514,0.887292894313861,"CV"
"Age group: 35-39","Male",NA,NA,0.0923193506611873,0.224778375363223,0.00451816182141515,0.020141302073994,0.0239552651810627,0.0287090917566136,0.900040419770267,"CV"
"Age group: 40-44","Female",NA,NA,0.083116826753815,0.208792307335399,0.00347203328323602,0.0212657727209407,0.0244503337282342,0.0278674382249012,0.868966822801249,"CV"
"Age group: 40-44","Male",NA,NA,0.122486563978112,0.270760738376818,0.00408482448400043,0.0199816297488296,0.0238876513375047,0.0296155918965771,0.904565353621716,"CV"
"Age group: 45-49","Female",NA,NA,0.0450599031960916,0.136339611326805,0.00340286537276392,0.0190472940190912,0.0233336208427982,0.0263856251982535,0.832026900924709,"CV"
"Age group: 45-49","Male",NA,NA,0.069377478931533,0.194970398172538,0.00252022533341744,0.0200703853142912,0.0230623718049727,0.0277991380722895,0.879283665730466,"CV"
"Age group: 5-9","Female",NA,NA,0.064615784653464,0.175633012232958,0.00466619674385186,0.0215587398864785,0.0245193487843989,0.0286874155878123,0.855618190201254,"CV"
"Age group: 5-9","Male",NA,NA,0.105743340937805,0.236506646057949,0.0031404248539608,0.0196546700917947,0.0232703517552208,0.0280104405874087,0.855951891963238,"CV"
"Age group: 50-54","Female",NA,NA,0.0988844663128439,0.241989209552139,0.00302204941233106,0.0205835871225759,0.0244401024111082,0.0291836869628502,0.910925042569386,"CV"
"Age group: 50-54","Male",NA,NA,0.0954340510607666,0.236490354135536,0.00317406824283039,0.0190102631065712,0.0218624363359798,0.0258719014446084,0.849621341893471,"CV"
"Age group: 55-59","Female",NA,NA,0.0842341926898723,0.22034159615946,0.00322252832819031,0.0180734185284263,0.0222364760335438,0.027254117024149,0.879982965577608,"CV"
"Age group: 55-59","Male",NA,NA,0.0889699802255222,0.225062150586154,0.0036167836866118,0.0189603519545819,0.0229103893748037,0.0284397990380025,0.883042034506221,"CV"
"Age group: 60-64","Female",NA,NA,0.0738644665486764,0.202065552826229,0.00306817499637663,0.0186595857213948,0.0233391466127721,0.0266832085598489,0.856585904928122,"CV"
"Age group: 60-64","Male",NA,NA,0.0841343569256705,0.213622065837231,0.00351589110619551,0.0210449026636409,0.0252669741683339,0.0292230865634186,0.820318264310052,"CV"
"Age group: 65-69","Female",NA,NA,0.0881984966834923,0.228956164600602,0.00354793564478405,0.0182662394483362,0.0222244430056737,0.0259260076316723,0.865648064192711,"CV"
"Age group: 65-69","Male",NA,NA,0.0595973267726446,0.164824539665136,0.00520486950899541,0.0194530907847281,0.0227159709793987,0.0262122665595053,0.909891041472934,"CV"
"Age group: 70-74","Female",NA,NA,0.0935369112123988,0.225751323017461,0.00420705715284526,0.0221720869678572,0.0258118269198756,0.0321109747316923,0.855724342948594,"CV"
"Age group: 70-74","Male",NA,NA,0.115223063987153,0.259965686832875,0.00435978679076644,0.0211509193112586,0.0243056796824067,0.0304195006085754,0.865206264365855,"CV"
"Age group: 75-79","Female",NA,NA,0.0853752401955551,0.221773075646074,0.00358605271947975,0.0190442306065372,0.0222739527368876,0.0274150372795242,0.845624384859723,"CV"
"Age group: 75-79","Male",NA,NA,0.0782958676805012,0.200339434898106,0.00324299423878176,0.020336662869024,0.024540535638734,0.0287839683596454,0.855143435335845,"CV"
"Age group: 80-84","Female",NA,NA,0.0790506807478374,0.194719590113222,0.00374513359625212,0.0198694375049603,0.021979977686838,0.0267896945674154,0.862952873103793,"CV"
"Age group: 80-84","Male",NA,NA,0.0838926084176552,0.211669944076474,0.00319565760070754,0.0209388987756699,0.0230047474320178,0.028135926052762,0.882589174549886,"CV"
"Age group: 85-89","Female",NA,NA,0.0754788001140674,0.206252469430797,0.00389646582120736,0.0186930424143579,0.0222650528229397,0.0262167848691907,0.869169846928671,"CV"
"Age group: 85-89","Male",NA,NA,0.14545949178691,0.289083064767674,0.00400155960388529,0.0196579030368335,0.0242707451416535,0.030179958391572,0.867195282763224,"CV"
"Age group: 90-94","Female",NA,NA,0.0811914423559578,0.207902159260594,0.00389555549911493,0.0200615883512974,0.0248557219952437,0.028502486572255,0.888977881411822,"CV"
"Age group: 90-94","Male",NA,NA,0.120516845213083,0.264713366445893,0.00265748307893974,0.0205600321953858,0.0259914544318523,0.0298006389115797,0.875692792085348,"CV"
"Age group: 95-99","Female",NA,NA,0.0798067794512226,0.214904030748356,0.0174134214158243,0.0202375498365515,0.023071843078732,0.0253594835765933,0.826396411254609,"CV"
"Age group: 95-99","Male",NA,NA,0.0917274736596834,0.241122365807795,0.0152182711602731,0.0227856541346864,0.0244221890466057,0.0292563361103624,0.894056046592989,"CV"
