"class","PersonCount","averagePredictedProbability","StDevPredictedProbability","MinPredictedProbability","P05PredictedProbability","P25PredictedProbability","MedianPredictedProbability","P75PredictedProbability","P95PredictedProbability","MaxPredictedProbability","evaluation"
0,698,0.0337576287206201,0.0940732036974033,0.00106714148652054,0.00192295909497228,0.0163465617095195,0.0209585966566496,0.0266320701915939,0.0405808825201326,0.952812671425386,"Test"
1,70,0.665816559499455,0.365512143158452,0.0134037656352334,0.0234610039812477,0.771496973065699,0.861655831471301,0.892091455383373,0.91544960501576,0.935250747288456,"Test"
0,2094,0.0266020122513177,0.0591540440565979,0.000785082531114694,0.00181130573330029,0.0159436440074624,0.0205956142344814,0.0257085522709378,0.0371887818220494,0.882540659534163,"Train"
1,212,0.737226717672318,0.320708837644922,0.0215977171052461,0.0381012565485458,0.846480120856808,0.8803323423941,0.900534000893353,0.928131622616692,0.93919197350753,"Train"
0,2094,0.0305406228702367,0.0717130738045528,0.00252022533341744,0.00462798382562097,0.0195328581941159,0.0230961852938351,0.0267502723003158,0.0357683860928614,0.909891041472934,"CV"
1,212,0.696993865337459,0.311278724157177,0.0148525514961762,0.0210126013027613,0.800201607944032,0.832305757004523,0.85398062019155,0.879255408357512,0.913040690433254,"CV"
