"covariateId","covariateName","analysisId","conceptId","covariateValue"
26,"Age group: 80-84",4,0,0
27,"Age group: 85-89",4,0,0
41,"Index month: 1",6,0,0
42,"Index month: 2",6,0,0
43,"Index month: 3",6,0,0
44,"Index month: 4",6,0,0
45,"Index month: 5",6,0,0
46,"Index month: 6",6,0,0
47,"Index month: 7",6,0,0
48,"Index month: 8",6,0,0
49,"Index month: 9",6,0,0
50,"Index month: 10",6,0,0
51,"Index month: 11",6,0,0
52,"Index month: 12",6,0,0
1000,"Number of distinct conditions observed in 365d on or prior to cohort index",1000,0,0
1001,"Number of distinct drug ingredients observed in 365d on or prior to cohort index",1001,0,0
1002,"Number of distinct procedures observed in 365d on or prior to cohort index",1002,0,0
1003,"Number of distinct observations observed in 365d on or prior to cohort index",1003,0,0
1004,"Number of visits observed in 365d on or prior to cohort index",1004,0,0
1005,"Number of inpatient visits observed in 365d on or prior to cohort index",1005,0,0
1006,"Number of ER visits observed in 365d on or prior to cohort index",1006,0,0
1007,"Number of distinct measurements observed in 365d on or prior to cohort index",1007,0,0
1100,"Charlson Index - Romano adaptation, using conditions all time on or prior to cohort index",1100,0,0
1101,"Diabetes Comorbidity Severity Index (DCSI), using conditions all time on or prior to cohort index",1101,0,0
1102,"CHADS2, using conditions all time on or prior to cohort index",1102,0,0
2007,"Index year: 2007",5,0,0
2008,"Index year: 2008",5,0,0
2009,"Index year: 2009",5,0,0
2010,"Index year: 2010",5,0,0
2011,"Index year: 2011",5,0,0
2012,"Index year: 2012",5,0,0
8507,"Gender = MALE",2,8507,0
8532,"Gender = FEMALE",2,8532,0
8715751,"Procedure occurrence record observed during 365d on or prior to cohort index within procedure group:  8715-Hospital admission",701,8715,0
8715752,"Procedure occurrence record observed during 30d on or prior to cohort index within procedure group:  8715-Hospital admission",702,8715,0
22281101,"Condition occurrence record observed during 365d on or prior to cohort index:  22281-Hb SS disease",101,22281,0
22281201,"Condition era record observed during anytime on or prior to cohort index:    22281-Hb SS disease",201,22281,0
22281251,"Condition era record observed during anytime on or prior to cohort index within condition group:  22281-Hb SS disease",201,22281,0
22340101,"Condition occurrence record observed during 365d on or prior to cohort index:  22340-Esophageal varices without bleeding",101,22340,0
22340201,"Condition era record observed during anytime on or prior to cohort index:    22340-Esophageal varices without bleeding",201,22340,0
22492201,"Condition era record observed during anytime on or prior to cohort index:    22492-Foreign body in pharynx",201,22492,0
23164251,"Condition era record observed during anytime on or prior to cohort index within condition group:  23164-Disorder of anterior pituitary",201,23164,0
23245151,"Condition occurrence record observed during 365d on or prior to cohort index within condition group:  23245-Esophageal bleeding",101,23245,0
23245251,"Condition era record observed during anytime on or prior to cohort index within condition group:  23245-Esophageal bleeding",201,23245,0
23325101,"Condition occurrence record observed during 365d on or prior to cohort index:  23325-Heartburn",101,23325,0
23325201,"Condition era record observed during anytime on or prior to cohort index:    23325-Heartburn",201,23325,0
23653101,"Condition occurrence record observed during 365d on or prior to cohort index:  23653-Foreign body in esophagus",101,23653,0
23653201,"Condition era record observed during anytime on or prior to cohort index:    23653-Foreign body in esophagus",201,23653,0
23798201,"Condition era record observed during anytime on or prior to cohort index:    23798-Acute laryngopharyngitis",201,23798,0
23868151,"Condition occurrence record observed during 365d on or prior to cohort index within condition group:  23868-Congenital anomaly of esophagus",101,23868,0
23868251,"Condition era record observed during anytime on or prior to cohort index within condition group:  23868-Congenital anomaly of esophagus",201,23868,0
23986151,"Condition occurrence record observed during 365d on or prior to cohort index within condition group:  23986-Disorder of pituitary gland",101,23986,0
